r_scale,shell_frac,width_frac,pos_w,neg_w,mu,rE,B,mass,E2_ratio,virial
0.6,0.5,0.3,0.6,0.1,0.201826029052591,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.6,0.25,0.201826029052591,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.6,0.4,0.201826029052591,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.75,0.1,0.25228253631573877,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.75,0.25,0.25228253631573877,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.75,0.4,0.25228253631573877,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.9,0.1,0.30273904357888654,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.9,0.25,0.30273904357888654,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.3,0.9,0.4,0.30273904357888654,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.6,0.1,0.32153795496517795,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.6,0.25,0.32153795496517795,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.6,0.4,0.32153795496517795,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.75,0.1,0.40192244370647245,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.75,0.25,0.40192244370647245,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.75,0.4,0.40192244370647245,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.9,0.1,0.482306932447767,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.9,0.25,0.482306932447767,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.5,0.9,0.4,0.482306932447767,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.6,0.1,0.39534515815218924,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.6,0.25,0.39534515815218924,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.6,0.4,0.39534515815218924,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.75,0.1,0.4941814476902365,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.75,0.25,0.4941814476902365,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.75,0.4,0.4941814476902365,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.9,0.1,0.5930177372282838,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.9,0.25,0.5930177372282838,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.5,0.8,0.9,0.4,0.5930177372282838,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.6,0.1,0.21065699584265887,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.6,0.25,0.21065699584265887,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.6,0.4,0.21065699584265887,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.75,0.1,0.26332124480332364,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.75,0.25,0.26332124480332364,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.75,0.4,0.26332124480332364,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.9,0.1,0.3159854937639883,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.9,0.25,0.3159854937639883,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.3,0.9,0.4,0.3159854937639883,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.6,0.1,0.42494220019635015,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.6,0.25,0.42494220019635015,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.6,0.4,0.42494220019635015,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.75,0.1,0.5311777502454377,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.75,0.25,0.5311777502454377,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.75,0.4,0.5311777502454377,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.9,0.1,0.6374133002945251,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.9,0.25,0.6374133002945251,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.5,0.9,0.4,0.6374133002945251,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.6,0.1,0.6610491712559448,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.6,0.25,0.6610491712559448,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.6,0.4,0.6610491712559448,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.75,0.1,0.826311464069931,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.75,0.25,0.826311464069931,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.75,0.4,0.826311464069931,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.9,0.1,0.9915737568839171,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.9,0.25,0.9915737568839171,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,0.8,0.8,0.9,0.4,0.9915737568839171,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.6,0.1,0.2107834359926342,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.6,0.25,0.2107834359926342,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.6,0.4,0.2107834359926342,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.75,0.1,0.26347929499079276,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.75,0.25,0.26347929499079276,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.75,0.4,0.26347929499079276,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.9,0.1,0.3161751539889514,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.9,0.25,0.3161751539889514,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.3,0.9,0.4,0.3161751539889514,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.6,0.1,0.447337141900115,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.6,0.25,0.447337141900115,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.6,0.4,0.447337141900115,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.75,0.1,0.5591714273751436,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.75,0.25,0.5591714273751436,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.75,0.4,0.5591714273751436,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.9,0.1,0.6710057128501724,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.9,0.25,0.6710057128501724,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.5,0.9,0.4,0.6710057128501724,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.6,0.1,0.8043432282979178,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.6,0.25,0.8043432282979178,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.6,0.4,0.8043432282979178,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.75,0.1,1.0054290353723974,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.75,0.25,1.0054290353723974,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.75,0.4,1.0054290353723974,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.9,0.1,1.2065148424468766,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.9,0.25,1.2065148424468766,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
0.6,1.0,0.8,0.9,0.4,1.2065148424468766,0.7118605245036189,0.9730174263834364,325167.78703044594,0.27424604588824447,0.4516184105029318
